task_name,num_rollouts,success_rate,avg_step_score,avg_step_score_normalized,avg_recall_score,avg_recall_score_normalized,avg_timesteps,avg_duration
BananaIntoBowl,10,0.4,3.2,0.6399999999999999,3.2,0.6399999999999999,699.7,35.7032945394516
BananaUnderCloth,10,0.0,2.2,0.22000000000000003,2.4,0.24000000000000005,1200.0,55.78148868083954
BaseballIntoBucket,10,0.0,0.5,0.1,0.5,0.1,690.9,32.58605885505676
BlockIntoBasket,10,0.0,1.0,0.19999999999999998,1.0,0.19999999999999998,900.0,41.959929847717284
BreadAndAppleIntoBowl,10,0.0,0.5,0.05,0.5,0.05,1200.0,55.577282428741455
BreadFromBox,10,0.0,0.3,0.06000000000000001,0.3,0.06000000000000001,842.7,39.469036960601805
ClothFold,10,0.0,0.0,0.0,0.0,0.0,744.7,35.002954030036925
DrawerClose,10,0.0,0.0,0.0,0.0,0.0,645.5,30.537462306022643
